Age,Annual_Income,Monthly_Expenses,Savings_Rate,Debt_to_Income_Ratio,Current_Investments_Value,Total_Loan_Amount,Avg_Credit_Score,Inflation_Rate,Interest_Rate,Years_of_Employment,Job_Stability_Score,Emergency_Fund_Value,Retirement_Fund_Contribution,Customer_Segment,Future_Balance
,649317.03,31983.05,0.41,0.59,2002123.33,729742.88,665.0,6.18,9.42,1.0,0.11,230016.92,69671.48,Silver,2378128.59
25.0,956468.88,53122.22,0.24,0.33,2207403.93,917470.65,715.0,7.06,4.0,5.9,0.3,75418.26,132261.8,Bronze,2692802.37
49.0,577478.81,24174.87,0.36,0.52,1848207.42,621446.82,611.0,5.39,5.62,3.3,0.01,215017.05,66470.36,Bronze,2127189.35
36.0,441440.0,26302.1,,0.73,1531778.43,1328442.83,611.0,8.39,6.15,7.9,0.21,186863.0,39170.06,Gold,1853943.74
,918337.96,58538.01,0.41,0.51,2645837.19,891607.64,660.0,7.43,9.0,4.8,0.15,88408.82,132978.04,Silver,3317366.87
30.0,1491154.48,61365.5,0.19,0.14,2831467.95,1154322.0,672.0,4.91,6.7,,0.15,222084.17,110241.67,Silver,3543295.28
44.0,1303380.59,71509.77,0.48,0.32,2721803.81,901012.81,659.0,4.72,7.02,9.3,0.34,95025.79,193651.9,Silver,3532578.79
32.0,870989.43,35441.0,0.59,0.25,1494892.69,3854881.47,651.0,4.47,6.84,12.2,0.4,288991.45,79564.05,Gold,2182023.72
39.0,,66806.11,0.26,0.55,2002176.96,438412.16,621.0,5.4,7.03,3.9,0.28,363125.24,260969.1,Silver,2591505.8
49.0,716780.89,44925.91,0.13,0.07,2423164.9,816790.17,717.0,6.93,7.69,11.4,0.28,368970.61,53859.25,Silver,2997203.83
48.0,417908.16,15455.91,0.5,0.19,1565860.83,411345.93,708.0,5.95,,,0.37,174398.75,41771.71,Bronze,2011355.54
40.0,375986.88,20211.24,0.23,0.28,1985466.4,,675.0,6.04,6.82,8.6,0.47,156441.85,53418.32,Silver,2234986.22
22.0,561110.8,27077.74,0.29,0.2,2611313.36,677462.5,735.0,5.52,6.2,3.2,0.26,225609.07,60784.34,Gold,3071267.55
,1247684.44,54097.34,0.26,0.4,2033332.62,1488216.02,729.0,7.91,4.25,10.0,0.4,211644.57,167767.68,Gold,2477484.3
57.0,698177.72,35600.1,0.29,0.61,1662095.41,407161.85,639.0,6.02,5.6,6.5,0.28,355414.66,61235.43,Bronze,2162861.1
47.0,1082229.15,,0.44,0.17,3243282.0,929091.94,833.0,5.82,6.25,7.1,0.16,569525.37,97842.37,Gold,4382927.55
32.0,1738726.31,53649.36,0.65,0.31,2288002.12,500642.76,,6.43,6.25,14.7,0.29,84773.06,,Silver,3567500.47
39.0,579610.3,28794.42,0.34,0.4,1370304.93,325491.38,648.0,5.09,,0.6,0.19,218187.46,,Bronze,1789044.36
35.0,1089849.24,50526.63,0.22,0.66,3084722.38,265222.0,647.0,5.18,4.0,3.8,0.13,141109.58,61267.06,Bronze,3654988.56
53.0,1116528.94,51601.68,0.6,0.31,4259914.0,179718.21,,5.29,7.34,1.9,,215671.27,58481.04,Silver,5284259.64
43.0,637847.72,32166.93,0.18,0.38,2232103.54,1151272.42,644.0,5.64,6.79,17.3,0.49,112209.37,56767.64,Gold,2717986.34
32.0,1547009.72,73897.17,0.2,0.29,2203604.41,,700.0,6.49,5.7,7.7,0.3,583295.6,193398.13,Silver,3093845.63
35.0,802163.09,35788.69,0.58,,2096062.15,4468300.05,715.0,7.23,6.88,5.3,0.24,153397.27,79097.52,Bronze,2722908.72
51.0,771929.77,45639.77,0.09,0.04,2791700.36,793948.83,695.0,7.33,5.95,12.9,0.33,132595.2,98017.96,Silver,3290729.16
56.0,2094436.98,60964.99,,0.4,5000000.0,529134.4,658.0,5.9,5.14,11.7,0.49,142670.43,118083.62,Silver,5919703.6
55.0,,41668.87,0.12,0.58,2567614.17,386272.14,665.0,6.83,6.25,4.9,0.06,140826.91,63992.63,Gold,2765559.23
48.0,1303112.59,67806.66,0.14,0.2,1908182.34,1471294.72,649.0,5.27,7.42,,0.44,120344.29,91650.62,Silver,2218479.2
37.0,1547431.81,57416.08,0.54,,3170392.06,982336.26,632.0,6.46,7.63,,0.02,191562.94,187883.95,Bronze,4261592.3
21.0,693814.87,34132.47,0.28,0.33,2166140.83,396454.47,621.0,6.14,5.38,11.0,,246783.92,35676.67,Silver,2563182.72
43.0,1483742.96,58986.89,0.65,0.09,3673154.86,917590.73,670.0,4.92,8.84,4.8,0.26,71411.35,193956.46,Gold,5113367.13
40.0,736299.61,35981.38,0.34,0.07,2002034.29,516799.17,763.0,4.21,4.92,0.0,0.1,296365.39,72996.81,Bronze,2632418.63
41.0,723821.93,30257.23,0.23,0.54,,507569.32,658.0,6.4,4.49,1.1,0.19,145976.84,53227.21,Silver,1630899.56
41.0,807218.81,54051.83,,0.31,2214775.13,,645.0,5.02,7.72,,,,48799.38,Silver,2754362.63
27.0,701744.12,29850.4,0.3,0.58,3023249.91,1023524.02,636.0,7.56,9.49,15.2,0.38,237717.72,,Silver,3654453.9
46.0,1250448.21,64906.66,0.12,0.56,3626910.75,,677.0,6.09,8.34,2.6,0.39,79289.44,157598.84,Gold,4311437.59
46.0,1001524.91,56975.96,0.38,0.31,2082472.61,1226401.14,721.0,6.26,7.88,0.0,0.0,130437.83,53266.75,Gold,2458660.78
47.0,739448.77,39641.29,0.23,0.25,2592123.11,866368.83,681.0,5.39,5.42,10.7,0.35,217575.4,77536.56,Bronze,3178712.79
49.0,1178734.61,54249.25,0.2,0.2,2591081.01,1160327.7,,8.29,7.58,14.7,0.44,254506.66,95212.11,Gold,3248590.69
46.0,806191.89,38783.57,0.34,0.38,1697531.89,1317392.06,575.0,5.84,4.0,11.9,0.38,161830.42,55165.72,Gold,2042125.87
36.0,789315.9,36769.02,0.21,0.19,2723150.49,722771.05,653.0,6.27,6.13,12.3,0.59,136500.95,84057.99,Gold,3071614.58
39.0,917697.96,55687.49,0.14,0.32,2746300.48,460043.09,689.0,6.51,6.78,2.3,0.19,187835.78,92326.39,Silver,3328714.38
41.0,1083312.66,36519.7,0.28,0.49,838155.42,1070690.29,657.0,5.61,4.0,15.7,0.59,108276.07,69139.77,Silver,1200025.39
41.0,1051879.48,64080.48,0.08,0.32,1907570.81,182319.21,665.0,5.32,7.38,17.0,0.5,507879.53,75979.61,Silver,2466702.45
50.0,778286.8,39733.86,0.24,0.32,888589.53,747410.26,619.0,5.7,5.5,12.0,0.34,171604.85,80102.81,Silver,1355604.16
46.0,1262992.58,72688.29,0.18,0.28,2634654.59,685147.89,728.0,6.61,4.0,3.5,0.22,303394.27,100158.53,Bronze,3296470.27
61.0,823395.88,28403.1,0.38,0.22,1780266.39,1059447.95,,7.08,,7.6,0.28,116722.38,94214.74,Bronze,2227671.75
62.0,692564.22,43784.37,0.09,0.21,892011.67,387059.51,682.0,4.78,8.53,10.4,0.31,288608.78,83793.96,Bronze,1183127.21
41.0,500289.09,19546.69,0.27,0.3,1932320.67,854869.92,686.0,6.36,5.94,15.7,0.48,83310.9,30313.31,Silver,2241782.89
21.0,1333638.44,73375.77,0.36,0.14,1311963.89,1316274.23,741.0,4.85,4.78,7.8,0.48,181642.5,150343.27,Silver,1951470.67
52.0,904471.5,41798.57,0.2,0.4,2911741.85,786600.58,661.0,7.4,7.82,13.9,0.56,205723.86,100121.55,Silver,3405202.98
35.0,979207.63,52195.41,0.24,0.06,3245644.65,1693938.29,715.0,6.78,7.87,13.7,0.55,160829.45,58704.27,Silver,3790352.12
32.0,1367467.72,66903.05,,0.47,4373404.95,2344286.47,641.0,6.79,6.01,11.6,0.43,323156.37,136569.82,Gold,5294546.87
36.0,743547.22,26539.96,0.25,,,629407.37,708.0,6.72,8.62,0.0,0.02,,93131.39,Gold,2495464.5
36.0,519379.62,26221.47,0.61,0.22,2018614.64,996664.19,669.0,6.88,8.55,1.7,0.19,,73573.73,Silver,2377738.81
46.0,,37603.18,0.58,0.34,1469846.5,578425.84,621.0,7.63,7.06,8.2,0.25,243666.37,71587.74,Silver,2147789.09
24.0,1017983.9,51138.35,0.27,0.28,1818591.68,547924.15,705.0,5.96,7.07,3.9,0.16,286098.08,78328.29,Gold,2274281.97
,810178.94,42296.38,0.1,0.41,1160608.08,633775.57,696.0,5.45,4.0,7.3,,146993.42,61911.74,Silver,1332391.98
43.0,1622769.92,46071.51,0.44,0.29,2135246.86,942736.08,719.0,5.96,5.39,4.2,0.05,233976.33,155257.3,Gold,3012040.18
46.0,332928.63,17143.97,0.57,0.77,1528033.97,809991.24,604.0,6.53,,2.3,0.23,146517.44,45247.24,Gold,1823481.04
46.0,1408692.74,68403.65,0.3,0.13,2151088.7,315155.34,697.0,4.67,7.05,4.2,0.28,162535.81,75629.82,Silver,2767570.77
32.0,,50427.48,0.42,0.18,2214797.15,478469.45,695.0,5.47,8.87,2.6,0.15,,151961.41,Silver,3121766.88
,1080417.78,65771.01,0.25,0.08,2436657.42,1392076.63,735.0,5.01,6.96,7.2,0.06,383110.67,92525.53,Gold,3040403.22
,300000.0,18212.57,0.38,0.14,1001197.22,654839.98,687.0,6.84,8.86,1.3,,162546.14,29386.91,Silver,1048016.68
42.0,1504100.43,52589.12,0.17,0.23,,1156734.59,719.0,6.71,10.57,13.3,0.38,58947.82,170071.66,Gold,3793062.2
55.0,596942.69,,0.1,0.36,1721720.66,2717194.07,690.0,,4.0,6.4,0.46,426620.42,49823.56,Silver,2068892.73
21.0,734594.0,,0.71,0.59,1610285.43,694950.96,689.0,,4.38,2.6,0.09,280821.14,62688.47,Gold,2107585.17
38.0,840635.12,35200.88,0.62,0.52,2152642.94,1016967.84,647.0,6.03,5.12,11.4,0.52,221718.64,90046.72,Silver,2742880.59
27.0,1059298.29,41400.87,0.28,0.1,3477966.88,465003.63,692.0,4.27,7.68,14.4,0.58,130604.55,108556.32,Bronze,4156025.2
23.0,1162311.51,,0.3,0.11,3495016.57,392724.32,654.0,5.36,6.41,12.0,0.33,191983.23,135620.71,Silver,4286003.3
,1286307.49,60776.74,0.17,0.79,3551115.84,148373.28,578.0,6.86,8.26,5.2,0.22,245925.03,146212.69,Gold,3892062.28
45.0,1247299.59,58848.71,0.33,0.23,3548942.52,541214.67,631.0,6.38,5.18,12.2,0.36,179076.21,70536.1,Silver,4248128.19
44.0,995819.13,34997.04,0.02,0.23,2646473.8,226664.06,668.0,5.82,4.48,3.5,0.18,97609.31,98013.52,Gold,2960600.0
49.0,1062908.0,57401.2,0.43,0.39,1133107.81,363945.08,628.0,6.29,6.27,0.9,0.03,215694.98,73119.76,Silver,1787499.57
35.0,581780.53,38833.0,0.14,0.15,814153.77,1644279.46,687.0,7.01,5.28,11.6,0.62,164979.25,44812.52,Silver,1019774.98
36.0,666462.61,43935.69,0.22,0.44,2647556.95,982130.76,614.0,5.84,7.7,17.9,0.45,77866.19,72325.36,Silver,3030339.85
62.0,1287656.08,73993.97,,0.07,3334925.97,1348768.36,706.0,4.86,8.57,5.3,0.32,195827.3,181769.84,Silver,4110994.53
38.0,1258000.15,71477.47,0.16,0.18,1082077.24,775200.83,740.0,5.91,8.67,3.6,0.05,231383.82,77532.01,Gold,1570836.4
47.0,1202207.26,43760.53,0.15,0.06,1512686.54,326510.81,684.0,8.39,7.18,5.6,0.32,262171.3,139288.44,Bronze,1999815.16
40.0,732620.67,27010.1,0.32,,3767701.06,276860.19,621.0,5.52,4.0,10.8,0.41,113908.47,109868.4,Silver,4564703.21
22.0,1295421.78,57588.29,0.28,0.42,2710075.11,818724.39,647.0,5.59,6.98,8.9,0.43,433880.42,106222.9,Silver,3439430.85
,565605.58,27190.69,0.42,0.19,779074.22,936180.74,709.0,6.5,9.14,6.6,0.23,185511.82,29283.53,Silver,1025083.54
34.0,1384838.34,78688.32,,0.38,1306895.2,1212205.58,746.0,6.8,7.86,8.8,0.32,,179660.42,Silver,2100079.73
51.0,,29145.8,0.37,0.7,2810132.1,218042.2,660.0,6.11,7.84,3.8,0.2,259008.02,96966.22,Silver,3213646.74
48.0,,77413.44,0.13,0.12,2505677.89,751685.13,714.0,3.96,4.64,9.5,0.2,187912.55,202907.02,Silver,3247811.4
49.0,489712.23,26363.05,0.11,0.56,1322753.42,412021.02,712.0,4.42,7.82,8.5,,511162.87,33939.35,Gold,1761419.79
30.0,1822120.81,76305.54,0.12,0.11,2744754.9,1085185.55,658.0,7.13,10.07,11.8,0.37,179197.94,162354.74,Bronze,3400062.78
56.0,7788426.5,167978.5,0.36,2.0,2550046.0,1387054.51,644.0,5.57,8.37,5.5,0.22,219433.17,,Silver,3263703.81
30.0,773250.5,32364.99,0.62,0.3,2726438.32,299280.26,696.0,6.33,5.61,13.1,0.42,187480.22,93194.37,Gold,3396406.73
,972947.66,59967.18,0.35,0.52,1962514.44,838572.76,634.0,5.86,5.69,9.9,0.36,415708.65,74784.49,Silver,2576849.92
40.0,681000.61,31563.44,0.26,0.18,2065503.51,519724.49,684.0,4.12,6.06,16.2,0.45,126141.81,42958.42,Silver,2408947.69
38.0,874334.62,45446.09,0.32,0.09,1779300.7,793508.05,692.0,5.59,7.5,4.7,0.34,226450.38,45066.95,Silver,2190245.49
53.0,670044.59,27768.51,0.16,0.51,,556613.35,656.0,6.16,4.0,7.4,0.19,,95138.07,Bronze,2156401.31
33.0,,29580.95,0.23,0.66,875232.96,461222.41,655.0,5.58,,,0.27,246227.12,81193.63,Silver,1329092.69
27.0,1093511.27,44416.09,0.38,0.63,1766883.98,425228.12,663.0,7.45,6.12,6.9,0.19,236976.52,96185.73,Gold,2320429.15
40.0,627515.62,28215.98,,0.36,1980481.9,402652.47,688.0,6.17,8.16,4.0,0.2,104236.6,87854.37,Silver,2313972.22
36.0,661901.71,,,0.53,2452815.77,,607.0,7.51,7.68,10.0,0.43,168377.25,97114.48,Bronze,2933014.56
65.0,519713.79,19377.03,0.21,0.38,1895202.49,631098.84,671.0,5.42,5.77,11.1,0.58,137348.74,66914.21,Silver,2188855.48
47.0,735700.05,35171.09,0.5,0.49,894702.66,2284977.76,640.0,6.57,9.9,7.9,0.13,311316.08,,Bronze,1369815.24
36.0,1520866.59,62566.73,0.12,0.53,1605661.14,409804.46,627.0,5.13,9.08,3.7,0.1,105463.28,109627.18,Gold,1955360.74
29.0,641636.09,37365.06,0.33,0.12,1127334.5,483065.85,732.0,6.75,4.6,2.4,0.2,233680.33,39173.94,Silver,1435494.18
21.0,671652.74,20970.66,0.13,0.42,1367799.26,773711.87,596.0,5.42,5.85,7.8,0.23,439971.4,44094.16,Silver,1685699.73
30.0,972590.9,28493.54,0.14,0.32,1778504.81,499668.44,630.0,5.23,8.32,4.6,0.25,146461.42,142121.09,Silver,2297407.81
41.0,775940.77,46057.3,0.17,0.42,980689.11,193043.98,629.0,,8.61,3.6,0.37,104046.69,61740.28,Silver,1303439.54
54.0,2194383.76,69451.07,0.26,0.19,,831412.2,670.0,5.63,7.6,11.2,0.33,297609.74,,Gold,6261915.27
51.0,843351.28,25254.68,0.12,,1842658.76,414974.5,627.0,5.47,7.72,12.4,0.38,92530.35,90741.75,Bronze,2204500.98
42.0,1029143.42,35890.46,0.18,0.28,950978.09,873697.69,606.0,5.6,,4.3,0.33,153306.7,81383.12,Bronze,1277817.97
37.0,1312779.96,73289.98,0.39,0.7,3259746.77,1386721.05,616.0,4.92,7.42,9.5,0.29,120817.01,133464.86,Silver,3914810.53
43.0,1302741.16,75425.1,0.39,0.66,4599994.52,787343.49,649.0,5.47,,2.1,0.02,251830.09,159222.29,Silver,5467932.99
35.0,988026.77,45230.17,0.19,0.57,1625193.06,772623.33,625.0,4.61,4.83,5.8,0.24,232867.48,61623.72,Silver,2043100.52
57.0,843823.85,43984.22,0.21,0.2,2643587.41,183508.6,624.0,6.05,8.71,5.9,0.3,216639.02,100399.97,Gold,3051310.27
38.0,2022331.19,90424.66,,0.58,5000000.0,684021.64,693.0,4.91,5.94,13.5,0.27,175018.14,212665.22,Silver,5927204.62
39.0,864793.42,,0.44,,1686221.15,496213.58,618.0,5.12,7.26,5.7,0.43,175574.02,65946.9,Silver,2375705.41
21.0,754246.11,26810.03,0.34,0.45,1487756.76,617079.26,,7.0,7.53,22.5,0.81,214996.4,83906.14,Gold,1860892.08
38.0,695099.62,40265.94,0.35,0.52,1040478.71,435138.42,666.0,5.38,5.48,5.1,0.27,176454.01,98841.8,Silver,1438625.76
48.0,,17420.31,0.12,0.16,595383.32,473060.26,687.0,6.66,5.71,8.1,0.36,118584.31,36173.66,Silver,833590.85
29.0,1250177.81,56577.48,0.27,0.16,3891246.3,365942.45,704.0,6.09,7.51,9.9,0.36,498210.39,140543.29,Silver,5026910.11
32.0,351836.79,,0.21,0.44,1790312.27,906561.66,666.0,6.75,5.97,2.2,0.2,89834.73,25886.99,Gold,2009072.19
48.0,897942.13,43573.13,0.29,0.61,2318694.8,1282296.39,588.0,6.28,7.04,,0.11,215698.92,91604.76,Silver,2857756.05
25.0,829190.99,45948.17,0.29,0.09,1734087.9,1543699.24,636.0,4.44,7.41,14.2,0.36,220431.69,95908.3,Silver,2208435.41
51.0,2204775.22,99650.49,0.06,0.73,4316328.77,,563.0,4.75,5.63,2.2,0.26,,292246.58,Gold,5207293.89
35.0,432565.72,24588.86,0.04,0.77,1658982.51,692964.22,665.0,6.14,,16.0,0.6,230769.29,50074.05,Silver,2043989.23
36.0,627631.65,39534.48,0.44,0.5,1801881.17,410548.96,656.0,8.47,5.3,9.6,0.13,728143.7,92852.04,Bronze,2488906.4
29.0,852315.0,49827.44,0.42,0.61,2833784.34,587939.82,640.0,4.82,6.16,13.2,0.46,198607.4,98166.81,Silver,3158391.86
44.0,831626.17,32310.19,0.32,0.19,2174044.49,890207.84,701.0,8.05,,4.0,0.12,260495.25,,Gold,2796893.58
65.0,722398.5,,0.41,0.52,1522383.53,860140.13,689.0,,6.6,10.0,0.43,247637.63,99413.27,Bronze,1892950.78
48.0,871311.55,32078.16,0.49,0.41,1021234.25,687960.79,665.0,6.42,4.37,22.1,0.56,176414.54,53943.92,Bronze,1237418.56
31.0,,22916.14,0.49,0.36,1311975.38,489167.7,641.0,6.18,6.72,8.2,0.28,157517.23,54912.45,Gold,1575503.64
51.0,1038229.27,54207.43,0.27,0.54,2986373.11,421322.98,,5.62,7.6,7.6,0.26,142207.87,99203.47,Gold,3422574.25
37.0,355597.91,22010.99,0.47,0.28,1421284.53,1346865.17,624.0,5.92,6.92,2.3,0.22,254931.09,37637.4,Bronze,1707653.08
54.0,890770.68,48760.81,0.25,,2113100.73,1512311.64,660.0,7.88,6.86,3.3,,428149.54,,Silver,2763793.87
48.0,707864.07,29697.25,0.41,0.34,2843514.32,767912.35,684.0,,6.9,8.0,0.33,266871.57,52670.72,Silver,3406954.35
21.0,1351418.34,67229.97,0.2,0.37,1234880.45,366476.19,693.0,6.12,6.71,9.7,0.2,,133804.85,Gold,1535684.3
30.0,1816231.8,74493.92,0.22,0.21,2241092.48,601049.14,714.0,4.43,7.85,,0.26,300964.98,197310.9,Bronze,2990646.1
49.0,788375.02,46226.53,0.48,0.52,3489170.51,627425.09,711.0,6.26,6.97,6.8,0.27,121854.34,77465.31,Bronze,4104034.59
42.0,1569771.17,61655.32,0.16,0.59,2778842.29,1077928.26,600.0,6.81,6.36,12.0,0.3,357464.68,152277.58,Bronze,3429538.62
30.0,793099.15,39733.39,0.19,0.21,2834067.86,1443796.95,686.0,6.83,6.71,6.9,0.16,154740.06,70176.65,Gold,3158595.18
34.0,611517.86,37602.55,0.1,0.26,2390784.14,268609.85,658.0,7.26,4.89,11.2,0.33,94866.27,67881.57,Silver,2839480.47
21.0,1809410.2,103986.25,0.25,0.11,3540518.05,299728.26,668.0,5.0,10.2,13.1,0.19,184046.52,178019.52,Gold,4464902.0
39.0,1108436.05,49766.76,0.28,0.36,,1472559.44,662.0,5.47,8.5,9.6,0.32,233167.37,105372.15,Bronze,2576281.27
62.0,901599.29,39039.85,0.05,0.15,1790063.11,2118654.96,684.0,7.54,6.0,10.8,0.39,179141.67,116522.76,Gold,2109607.97
48.0,1184724.76,47930.05,,0.41,3556076.61,482968.67,704.0,5.06,5.84,3.7,0.16,342560.12,163318.21,Silver,4549773.68
62.0,1004334.87,40813.73,0.4,0.53,1517869.38,351586.6,,,7.08,3.4,0.1,213917.95,,Silver,2198570.25
49.0,,42482.11,0.1,0.7,1108556.28,1632669.71,563.0,3.73,9.03,11.6,0.4,176469.5,106462.08,Silver,1194510.66
50.0,529440.52,35399.19,0.33,0.39,2034757.18,1060151.23,642.0,6.89,8.41,10.5,0.36,149450.75,73769.45,Silver,2384648.3
,807691.41,27125.86,0.35,0.37,2365943.8,658598.26,678.0,7.3,4.7,16.4,,220775.45,41725.16,Gold,2848000.9
44.0,1154816.73,57835.83,0.34,0.15,3292915.73,413965.94,704.0,6.34,7.17,10.7,,296836.28,61825.94,Silver,4230439.27
38.0,,51699.15,0.38,0.09,1482809.16,1476590.09,660.0,6.36,5.68,0.0,0.06,384236.73,82475.03,Gold,2166095.55
50.0,1291197.12,40048.74,0.12,0.3,3589395.99,163510.79,620.0,5.8,8.45,10.7,0.35,254293.94,147074.65,Bronze,4337275.28
55.0,1049277.15,50905.04,0.21,0.37,,3346922.59,668.0,4.83,8.4,8.0,0.27,368649.84,61235.93,Bronze,2221108.45
35.0,633424.13,37360.4,0.58,0.14,1854749.65,440764.5,647.0,,8.02,6.9,0.23,82296.68,37222.29,Gold,2383131.77
33.0,530980.86,36001.34,0.37,0.44,877319.33,982719.25,660.0,4.14,8.06,10.3,0.37,165042.51,,Bronze,1158195.09
41.0,845157.81,41554.29,0.89,0.21,3108854.7,1362175.86,694.0,7.78,6.04,,0.37,144693.28,,Silver,4333999.91
48.0,729751.0,23119.87,0.28,0.17,1997762.6,331882.86,709.0,6.37,5.61,0.0,0.0,165838.69,64260.31,Silver,2546257.15
48.0,1029597.77,31693.52,0.16,,2727885.77,1004395.88,665.0,6.22,7.38,,0.45,193754.92,114894.11,Bronze,3145425.59
26.0,675288.29,37572.3,0.17,0.24,1433675.76,1134300.86,669.0,5.36,4.79,9.6,0.34,335057.61,79671.46,Bronze,1852936.68
59.0,703619.57,26496.4,0.26,0.41,2825321.72,770148.25,647.0,5.61,7.74,,0.14,105116.49,100949.51,Gold,3296291.44
34.0,1371448.35,44572.94,0.07,0.21,2541389.71,237554.05,730.0,4.46,7.24,6.8,0.14,162797.1,,Silver,2896094.77
37.0,954966.2,53941.56,0.39,0.21,2030992.27,554041.94,670.0,4.6,7.2,11.3,0.31,498778.87,53204.17,Gold,2969205.41
31.0,679463.79,41001.19,0.15,0.45,2561629.44,219251.26,585.0,6.06,4.85,2.3,0.13,155488.13,36996.46,Silver,2984336.54
65.0,906373.51,53345.61,0.19,0.72,,491724.26,638.0,6.03,6.9,12.0,0.38,151310.48,106148.49,Gold,2419315.6
42.0,,50042.63,0.31,0.54,2607899.87,766772.03,642.0,7.54,5.48,9.9,0.28,331746.93,230441.27,Bronze,3460832.67
31.0,1012228.32,,0.29,0.11,2136660.7,725733.16,671.0,6.43,6.0,,0.39,195189.24,82367.82,Gold,2541208.95
49.0,1140902.72,68274.69,0.26,,3555803.7,986688.74,691.0,5.77,8.52,9.9,0.2,335544.9,64830.32,Silver,4154060.28
48.0,666140.73,37425.85,0.04,0.21,1790340.94,372497.85,704.0,5.28,9.57,13.4,0.59,344187.37,78029.44,Silver,2117939.32
38.0,1356906.17,72701.33,0.46,0.73,2984858.96,139445.49,659.0,5.23,8.37,4.0,0.17,211566.38,68520.03,Bronze,3564047.81
48.0,2274773.28,134312.41,0.24,0.3,4924382.73,,699.0,5.89,7.32,0.0,0.09,,217708.72,Silver,5949719.62
32.0,,38907.79,0.24,0.31,1910377.86,,714.0,6.22,5.08,14.3,0.45,203314.65,69811.47,Silver,2246108.91
35.0,560953.03,26885.89,0.11,0.44,1625827.68,970622.21,658.0,5.59,9.67,15.6,0.66,239357.56,53306.0,Silver,2124946.57
21.0,965466.75,35772.94,0.4,,2799082.32,2112298.7,688.0,7.48,8.39,11.5,0.34,235265.47,121686.4,Silver,3481889.03
27.0,1277418.83,64888.31,0.34,0.19,3125168.06,,674.0,5.94,4.0,7.3,0.36,104932.91,181962.65,Silver,4044426.48
,867693.81,46218.46,0.36,0.48,2152183.36,915476.29,648.0,7.68,9.77,15.9,0.55,53703.48,,Bronze,2507328.54
56.0,590584.19,25318.01,0.48,0.45,2015129.74,951038.74,695.0,5.79,6.49,6.5,0.24,173865.67,75926.44,Gold,2699053.54
41.0,861746.46,48623.7,0.35,0.13,1189499.78,1334704.92,733.0,7.99,7.72,9.8,,178127.29,44840.01,Gold,1534994.45
57.0,1143251.5,33543.19,0.1,0.19,2034327.36,673748.62,713.0,5.18,11.22,5.3,0.33,221261.33,83303.83,Gold,2723764.44
38.0,764775.28,46302.71,0.07,0.45,2308784.97,1749669.79,670.0,5.81,7.17,16.3,,183936.05,,Silver,2659103.93
38.0,1147449.31,31010.9,0.37,0.26,3097912.29,946049.4,719.0,6.79,6.47,17.2,0.61,188776.26,80193.6,Gold,3841102.47
41.0,1434080.39,65676.18,0.46,0.48,4865160.9,997840.78,694.0,5.52,7.18,2.5,0.13,226512.79,152594.71,Silver,5721236.4
39.0,990774.55,54542.16,0.13,0.49,1939782.41,814777.36,687.0,5.87,8.07,2.3,0.23,153121.41,105359.61,Bronze,2288865.55
38.0,889994.83,28987.87,0.32,0.28,2144925.02,547474.86,663.0,4.9,5.92,,0.2,124690.79,109958.55,Silver,2690760.25
51.0,1254048.42,60478.91,0.43,0.2,3744987.34,782331.4,648.0,4.27,8.6,7.0,0.06,,130511.27,Silver,4752873.97
,639031.94,21103.1,0.15,0.2,1625356.33,723310.4,615.0,5.54,7.35,19.3,0.46,124695.48,51852.81,Bronze,1897286.36
47.0,614316.85,38383.85,0.37,0.44,1122690.69,1811573.17,639.0,7.36,9.43,3.2,0.18,78828.0,32818.82,Silver,1202755.15
50.0,808973.25,48924.71,0.27,0.37,2056983.16,1228300.99,705.0,6.4,,13.7,0.34,219335.54,91085.36,Gold,2633764.62
44.0,739255.04,47423.15,0.1,0.84,1766525.0,639121.32,667.0,4.25,7.26,10.8,0.38,77936.68,79431.9,Silver,1950118.23
30.0,,40492.46,0.42,0.1,646737.36,553490.35,660.0,5.73,8.82,2.7,0.21,204520.11,60925.22,Silver,1211681.83
26.0,1871662.13,98735.71,0.08,,3561748.84,295856.99,724.0,6.6,,7.7,0.37,156801.99,213617.34,Silver,4282164.98
41.0,2145637.62,70642.8,0.14,0.3,2318856.99,1231406.72,652.0,6.45,6.27,5.5,0.19,56794.71,132294.83,Silver,3027771.97
38.0,781263.71,36274.99,0.4,0.17,1230132.59,1369948.72,687.0,5.2,8.97,8.4,0.09,189638.57,58821.88,Silver,1690868.88
41.0,933631.99,40582.23,0.13,0.49,1864739.99,612131.63,624.0,5.25,6.06,7.5,0.12,168765.2,118073.37,Gold,2117071.58
40.0,834854.65,44583.61,0.4,0.18,1921191.25,103530.13,738.0,5.45,9.88,12.5,,616577.09,55000.06,Bronze,2788300.12
65.0,1401634.67,76964.37,0.32,0.51,3245731.49,876255.33,710.0,5.8,8.93,8.3,0.46,100275.31,189789.64,Bronze,3809047.29
27.0,1517247.3,55643.86,0.48,0.22,4452183.24,490843.6,622.0,4.23,9.37,7.6,0.28,154009.9,133137.26,Silver,5636394.65
21.0,442079.29,19531.37,0.44,0.6,622345.77,,627.0,5.96,5.05,4.7,0.28,140072.58,65731.46,Gold,730775.96
43.0,1088764.76,50845.34,0.38,0.19,1132997.88,604372.53,712.0,7.28,8.43,9.7,0.26,295991.87,100312.08,Bronze,1838566.14
